LAPORAN LAPORAN ANGGOTA;;;;;
;;;;;
no_anggota;nama;fraksi;dapil;jenis_kelamin;
153;F. ALIMUDIN KOLATLENA;Fraksi Partai Gerakan Indonesia Raya;MALUKU;L;
154;YAN PERMENAS  MANDENAS, S.Sos., M.Si.;Fraksi Partai Gerakan Indonesia Raya;PAPUA;L;
155;JAMALUDDIN IDHAM, S.H., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;ACEH I;L;
156;Dr. SOFYAN TAN;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA UTARA I;L;
157;Prof. Dr. YASONNA H. LAOLY, S.H., M.Sc.;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA UTARA I;L;
158;Drs. RAPIDIN SIMBOLON, M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA UTARA II;L;
159;Dr. SIHAR P.H. SITORUS, B.S., B.A., M.B.A.;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA UTARA II;L;
160;BOB ANDIKA MAMANA SITEPU, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA UTARA III;L;
161;BANE RAJA MANALU;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA UTARA III;L;
162;ALEX INDRA LUKMAN, S.Sos., M.A.P.;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA BARAT I;L;
163;Hj. DEWI JULIANI, S.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;RIAU I;P;
164;Hj. SITI AISYAH;Fraksi Partai Demokrasi Indonesia Perjuangan;RIAU II;P;
165;Dr. EDI PURWANTO, S.H.I., M.Si.;Fraksi Partai Demokrasi Indonesia Perjuangan;JAMBI;L;
166;H. YULIAN GUNHAR, S.H., M.H.;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA SELATAN I;L;
167;Dr. H. M. GIRI RAMANDA N. KIEMAS, S.E., M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;SUMATERA SELATAN II;L;
168;EKO KURNIA NINGSIH;Fraksi Partai Demokrasi Indonesia Perjuangan;BENGKULU;P;
169;Drs. H. MUKHLIS BASRI;Fraksi Partai Demokrasi Indonesia Perjuangan;LAMPUNG I;L;
170;SUDIN, S.E.;Fraksi Partai Demokrasi Indonesia Perjuangan;LAMPUNG I;L;
171;drh. I KETUT SUWENDRA, M.M.;Fraksi Partai Demokrasi Indonesia Perjuangan;LAMPUNG II;L;
